iter	Passed	Remaining
217	386	1385
218	387	1380
219	387	1375
220	388	1369
221	389	1364
222	390	1362
223	391	1357
224	392	1352
225	393	1348
226	394	1343
227	395	1338
228	396	1335
229	397	1332
230	398	1327
231	399	1323
232	400	1319
233	401	1314
234	402	1309
235	402	1304
236	403	1299
237	404	1295
238	405	1291
239	406	1286
240	407	1282
241	408	1278
242	408	1273
243	409	1268
244	410	1264
245	411	1260
246	412	1256
247	413	1252
248	413	1248
249	414	1244
250	415	1240
251	416	1235
252	416	1231
253	417	1226
254	418	1222
255	419	1220
256	421	1217
257	422	1214
258	423	1212
259	424	1207
260	425	1203
261	426	1200
262	427	1196
263	428	1193
264	429	1189
265	429	1185
266	430	1181
267	431	1177
268	431	1173
269	432	1170
270	433	1166
271	434	1163
272	435	1159
273	436	1156
274	437	1152
275	437	1148
276	438	1145
277	439	1141
278	440	1137
279	441	1134
280	442	1131
281	443	1129
282	444	1125
283	444	1121
284	445	1117
285	446	1114
286	447	1110
287	448	1108
288	448	1104
289	449	1100
290	450	1097
291	451	1094
292	452	1090
293	452	1087
294	453	1083
295	454	1080
296	454	1076
297	456	1074
298	457	1072
299	458	1069
300	459	1066
301	459	1062
302	460	1059
303	461	1055
304	462	1053
305	463	1050
306	463	1046
307	464	1044
308	465	1041
309	466	1038
310	467	1035
311	467	1031
312	468	1028
313	469	1025
314	470	1022
315	470	1019
316	472	1018
317	473	1015
318	474	1012
319	474	1008
320	475	1006
321	479	1009
322	485	1017
323	487	1017
324	488	1015
325	490	1014
326	491	1011
327	492	1008
328	493	1006
329	494	1003
330	495	1001
331	496	998
332	497	995
333	497	992
334	498	990
335	499	987
336	500	984
337	501	983
338	503	981
339	504	979
340	505	977
341	507	975
342	508	973
343	509	971
344	510	968
345	510	965
346	511	963
347	512	960
348	513	957
349	514	954
350	514	952
351	516	951
352	520	953
353	520	950
354	522	948
355	522	945
356	523	942
357	524	939
358	524	937
359	525	934
360	526	931
361	527	928
362	527	926
363	528	923
364	529	920
365	529	917
366	530	915
367	532	914
368	533	911
369	533	909
370	534	906
371	535	904
372	536	901
373	537	899
374	537	896
375	538	894
376	539	891
377	540	889
378	541	886
379	541	883
380	542	881
381	543	878
382	543	876
383	544	873
384	547	874
385	549	874
386	550	872
387	551	870
388	552	868
389	553	865
390	554	863
391	554	860
392	555	858
393	556	855
394	557	853
395	557	850
396	559	849
397	561	849
398	563	848
399	563	845
400	564	843
401	565	840
402	565	838
403	566	835
404	567	833
405	568	831
406	568	828
407	569	826
408	570	823
409	570	821
410	571	818
411	572	816
412	573	814
413	574	812
414	575	810
415	576	809
416	577	807
417	578	805
418	579	802
419	579	800
420	580	798
421	581	796
422	581	793
423	582	791
424	583	789
425	584	787
426	584	784
427	585	782
428	587	781
429	588	779
430	589	778
431	592	778
432	593	777
433	594	775
434	595	773
435	596	771
436	597	769
437	597	767
438	598	765
439	599	762
440	600	760
441	601	758
442	601	756
443	602	754
444	603	752
445	604	750
446	604	748
447	606	747
448	607	745
449	608	743
450	609	741
451	609	739
452	610	737
453	611	735
454	611	732
455	612	730
456	613	729
457	614	727
458	615	725
459	615	722
460	616	720
461	617	718
462	617	716
463	618	714
464	619	712
465	620	710
466	621	709
467	622	707
468	623	705
469	623	703
470	624	701
471	625	699
472	626	698
473	627	696
474	628	694
475	629	693
476	630	691
477	631	689
478	632	687
479	632	685
480	633	683
481	634	681
482	635	680
483	637	680
484	638	678
485	639	676
486	640	674
487	641	672
488	641	670
489	642	668
490	643	666
491	643	664
492	644	662
493	645	661
494	646	659
495	646	657
496	647	655
497	648	653
498	648	651
499	649	649
500	651	648
501	652	647
502	653	645
503	653	643
504	655	642
505	655	640
506	656	638
507	657	636
508	658	635
509	659	633
510	660	631
511	660	629
512	661	628
513	662	626
514	663	624
515	664	623
516	665	621
517	666	620
518	667	619
519	669	617
520	670	616
521	671	614
522	673	613
523	673	612
524	674	610
525	675	608
526	675	606
527	676	604
528	677	603
529	678	601
530	678	599
531	680	598
532	682	598
533	683	596
534	684	594
535	684	592
536	685	591
537	686	589
538	686	587
539	687	585
540	688	584
541	689	582
542	689	580
543	690	578
544	691	577
545	692	575
546	692	573
547	693	571
548	694	570
549	695	569
550	696	567
551	697	566
552	698	564
553	699	562
554	699	561
555	700	559
556	701	557
557	702	556
558	703	554
559	703	552
560	704	551
561	705	549
562	705	547
563	706	546
564	707	544
565	708	542
566	709	541
567	710	540
568	711	539
569	713	537
570	714	536
571	714	534
572	716	533
573	717	532
574	718	530
575	718	529
576	719	527
577	720	525
578	721	524
579	721	522
580	722	521
581	723	519
582	724	518
583	725	516
584	726	515
585	727	513
586	728	512
587	728	510
588	729	509
589	730	507
590	731	506
591	732	504
592	732	503
593	733	501
594	734	499
595	735	498
596	735	496
597	736	495
598	737	493
599	738	492
600	739	491
601	740	489
602	741	488
603	742	486
604	743	485
605	743	483
606	744	482
607	745	480
608	746	479
609	746	477
610	747	475
611	748	474
612	748	472
613	749	471
614	750	469
615	751	468
616	752	467
617	753	465
618	754	464
619	755	463
620	756	461
621	757	460
622	757	458
623	758	457
624	759	455
625	759	454
626	760	452
627	761	450
628	761	449
629	762	447
630	763	446
631	764	444
632	764	443
633	765	442
634	767	440
635	768	439
636	769	438
637	770	436
638	770	435
639	771	434
640	772	432
641	773	431
642	773	429
643	774	428
644	775	426
645	776	425
646	777	424
647	778	422
648	778	421
649	780	420
650	781	418
651	781	417
652	782	415
653	783	414
654	784	413
655	785	411
656	786	410
657	786	408
658	787	407
659	788	406
660	788	404
661	789	403
662	790	401
663	790	400
664	791	398
665	792	397
666	793	395
667	794	394
668	795	393
669	796	392
670	797	391
671	799	389
672	800	388
673	801	387
674	801	386
675	802	384
676	803	383
677	804	381
678	804	380
679	805	379
680	806	377
681	807	376
682	808	375
683	809	373
684	809	372
685	810	371
686	811	369
687	812	368
688	813	367
689	814	365
690	815	364
691	816	363
692	817	362
693	817	360
694	818	359
695	819	357
696	820	356
697	821	355
698	822	354
699	823	352
700	824	351
701	825	350
702	826	349
703	826	347
704	827	346
705	830	345
706	831	344
707	832	343
708	833	342
709	834	340
710	835	339
711	836	338
712	837	337
713	838	335
714	839	334
715	839	333
716	840	331
717	841	330
718	841	329
719	842	327
720	843	326
721	844	325
722	845	323
723	846	322
724	847	321
725	847	319
726	849	318
727	849	317
728	850	316
729	851	315
730	852	313
731	853	312
732	854	311
733	854	309
734	855	308
735	856	307
736	857	305
737	858	304
738	859	303
739	860	302
740	861	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	867	293
747	868	292
748	869	291
749	870	290
750	870	288
751	872	287
752	873	286
753	874	285
754	876	284
755	877	283
756	878	281
757	879	280
758	880	279
759	881	278
760	883	277
761	884	276
762	885	275
763	886	273
764	887	272
765	888	271
766	889	270
767	890	268
768	891	267
769	891	266
770	892	265
771	893	263
772	893	262
773	894	261
774	895	259
775	896	258
776	896	257
777	897	256
778	898	255
779	900	253
780	901	252
781	902	251
782	903	250
783	904	249
784	905	247
785	906	246
786	906	245
787	907	244
788	908	242
789	908	241
790	909	240
791	910	239
792	911	237
793	912	236
794	912	235
795	913	234
796	915	233
797	917	232
798	918	231
799	919	229
800	921	228
801	922	227
802	922	226
803	923	225
804	924	223
805	925	222
806	925	221
807	926	220
808	927	219
809	928	217
810	930	216
811	931	215
812	932	214
813	933	213
814	934	212
815	935	210
816	935	209
817	936	208
818	937	207
819	938	205
820	938	204
821	939	203
822	940	202
823	941	201
824	942	199
825	945	199
826	946	198
827	947	196
828	948	195
829	949	194
830	950	193
831	951	192
832	951	190
833	952	189
834	953	188
835	953	187
836	954	185
837	955	184
838	956	183
839	957	182
840	958	181
841	959	180
842	960	178
843	961	177
844	962	176
845	963	175
846	963	174
847	964	172
848	965	171
849	965	170
850	966	169
851	967	168
852	967	166
853	968	165
854	969	164
855	970	163
856	971	162
857	972	160
858	973	159
859	974	158
860	975	157
861	977	156
862	978	155
863	980	154
864	981	153
865	982	151
866	984	151
867	985	149
868	986	148
869	988	147
870	990	146
871	991	145
872	992	144
873	993	143
874	994	142
875	996	141
876	997	139
877	998	138
878	999	137
879	1000	136
880	1002	135
881	1004	134
882	1005	133
883	1006	132
884	1007	130
885	1008	129
886	1009	128
887	1011	127
888	1012	126
889	1013	125
890	1015	124
891	1016	123
892	1019	122
893	1020	120
894	1021	119
895	1022	118
896	1023	117
897	1024	116
898	1025	115
899	1026	114
900	1026	112
901	1027	111
902	1028	110
903	1029	109
904	1030	108
905	1031	107
906	1032	105
907	1034	104
908	1035	103
909	1036	102
910	1037	101
911	1038	100
912	1039	99
913	1040	97
914	1040	96
915	1041	95
916	1042	94
917	1042	93
918	1043	91
919	1044	90
920	1045	89
921	1045	88
922	1046	87
923	1047	86
924	1049	85
925	1050	83
926	1051	82
927	1052	81
928	1053	80
929	1054	79
930	1055	78
931	1056	77
932	1057	75
933	1058	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1061	68
939	1062	67
940	1063	66
941	1064	65
942	1065	64
943	1066	63
944	1066	62
945	1068	60
946	1069	59
947	1069	58
948	1070	57
949	1071	56
950	1072	55
951	1073	54
952	1073	52
953	1074	51
954	1075	50
955	1075	49
956	1076	48
957	1077	47
958	1078	46
959	1079	44
960	1080	43
961	1080	42
962	1081	41
963	1082	40
964	1083	39
965	1084	38
966	1084	37
967	1085	35
968	1086	34
969	1087	33
970	1087	32
971	1088	31
972	1089	30
973	1090	29
974	1090	27
975	1091	26
976	1092	25
977	1093	24
978	1094	23
979	1095	22
980	1095	21
981	1096	20
982	1097	18
983	1098	17
984	1099	16
985	1099	15
986	1100	14
987	1101	13
988	1101	12
989	1102	11
990	1103	10
991	1103	8
992	1104	7
993	1105	6
994	1106	5
995	1106	4
996	1107	3
997	1108	2
998	1110	1
999	1111	0
